,location,bhk,total_sqft,bath,price,encoded_loc
195,others,2,1060.0,2.0,55.0,232
196,7th Phase JP Nagar,2,1270.0,2.0,93.0,6
197,others,2,1280.0,2.0,69.0,232
198,Horamavu Agara,4,1200.0,2.0,95.0,98
199,Sarjapur  Road,2,1025.0,2.0,36.0,196
200,Electronic City,2,1108.0,2.0,63.0,74
201,others,3,3045.0,3.0,170.0,232
202,Vijayanagar,3,1500.0,3.0,75.5,222
203,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,186
204,Budigere,2,1162.0,2.0,59.9,52
205,Sarjapur  Road,2,1035.0,2.0,49.2,196
206,Attibele,4,1600.0,4.0,52.8,21
207,others,3,1464.0,3.0,46.0,232
208,Hennur Road,3,1866.0,2.0,61.58,96
209,others,2,700.0,1.0,26.0,232
210,Kalena Agrahara,3,1804.0,3.0,120.0,122
211,Sarjapur,2,913.0,2.0,32.0,195
212,Talaghattapura,3,1868.0,3.0,131.0,210
213,Kengeri Satellite Town,2,883.0,2.0,45.0,137
214,Kogilu,3,1664.0,2.0,73.95,143
215,Hegde Nagar,3,2026.0,3.0,132.0,94
216,Balagere,2,1210.0,2.0,80.9,25
217,others,4,4111.0,4.0,250.0,232
218,Kadugodi,3,1762.0,3.0,91.45,118
219,Jigani,3,1252.0,3.0,55.0,114
220,Gollarapalya Hosahalli,2,861.0,2.0,34.5,81
221,7th Phase JP Nagar,3,1420.0,2.0,100.0,6
222,Electronics City Phase 1,3,1490.0,3.0,78.8,76
223,Bisuvanahalli,3,1075.0,2.0,46.0,46
224,Old Madras Road,3,1425.0,2.0,94.0,178
225,Kalena Agrahara,2,1200.0,2.0,40.0,122
226,Kaggadasapura,3,1280.0,2.0,56.0,119
227,others,2,1084.0,2.0,50.0,232
228,Kanakpura Road,2,1017.0,2.0,51.25,128
229,Haralur Road,2,1027.0,2.0,44.0,90
230,Electronic City Phase II,2,1069.0,2.0,45.0,75
231,Hebbal,2,1349.0,2.0,98.2,92
232,9th Phase JP Nagar,2,1005.0,2.0,50.0,8
233,Jakkur,2,1417.0,2.0,75.0,111
234,TC Palaya,3,1475.0,3.0,98.0,209
235,others,2,950.0,2.0,47.0,232
236,others,4,2000.0,4.0,120.0,232
237,Sarjapur  Road,4,1863.0,3.0,104.0,196
238,Singasandra,2,1010.0,2.0,29.5,203
239,Kalena Agrahara,3,1425.0,2.0,70.0,122
240,Vijayanagar,3,1450.0,3.0,100.0,222
241,Kothanur,3,1847.0,3.0,105.0,147
242,AECS Layout,2,1100.0,2.0,45.0,9
243,Kanakpura Road,1,525.0,1.0,26.0,128
244,Mallasandra,3,1665.0,3.0,95.0,159
245,Begur,4,1664.0,4.0,65.0,38
246,JP Nagar,3,1850.0,3.0,150.0,110
247,Panathur,2,1438.0,2.0,100.0,181
248,others,3,1560.0,3.0,115.0,232
249,Yelahanka,2,1350.0,2.0,55.55,228
250,Kanakpura Road,3,1550.0,3.0,67.0,128
251,Malleshpalya,2,1140.0,2.0,46.5,160
252,others,2,850.0,2.0,27.0,232
253,Whitefield,2,1280.0,2.0,75.0,226
254,Munnekollal,2,1170.0,2.0,52.0,165
255,others,2,1113.0,2.0,51.0,232
256,Hennur Road,2,1385.0,2.0,83.09,96
257,Electronic City,2,1128.0,2.0,65.0,74
258,Haralur Road,3,1464.0,3.0,56.0,90
259,others,2,1200.0,2.0,55.0,232
260,Kaval Byrasandra,2,1200.0,2.0,52.0,134
261,Kaggalipura,3,1150.0,2.0,55.0,120
262,others,3,1645.0,3.0,95.0,232
263,Sarjapur  Road,2,1000.0,2.0,67.0,196
264,Haralur Road,4,2650.0,4.0,198.0,90
265,6th Phase JP Nagar,2,1192.0,2.0,74.0,5
266,Whitefield,2,1173.0,2.0,58.0,226
267,Uttarahalli,2,1020.0,2.0,45.0,218
268,Somasundara Palya,3,1600.0,3.0,64.0,204
269,others,2,1200.0,2.0,79.0,232
270,others,2,1230.0,2.0,48.0,232
271,Devarachikkanahalli,2,1250.0,2.0,40.0,66
272,Kalena Agrahara,2,1325.0,2.0,76.0,122
273,7th Phase JP Nagar,3,1850.0,3.0,150.0,6
274,Kanakpura Road,1,525.0,2.0,21.53,128
275,Basaveshwara Nagar,2,1200.0,2.0,65.0,36
276,Bommasandra,3,1260.0,3.0,49.36,48
277,Ardendale,2,1100.0,2.0,43.25,19
278,Harlur,2,1508.0,2.0,77.0,91
279,others,3,1592.0,3.0,75.0,232
280,Akshaya Nagar,2,1388.0,2.0,57.0,11
281,Electronic City Phase II,1,630.0,1.0,28.35,75
282,others,3,1762.0,3.0,125.0,232
283,others,2,950.0,2.0,50.0,232
284,Magadi Road,2,1116.0,2.0,50.0,156
285,others,2,1308.0,2.0,89.04,232
286,others,3,1200.0,3.0,90.0,232
287,Bannerghatta Road,1,500.0,1.0,18.5,34
288,Hennur,2,1075.0,2.0,52.0,95
289,Bellandur,2,1205.0,2.0,66.0,40
290,5th Phase JP Nagar,2,1075.0,2.0,60.0,4
291,KR Puram,2,930.0,2.0,39.0,116
292,Balagere,2,1380.0,2.0,60.0,25
293,Kodigehaali,2,1166.0,2.0,55.0,140
294,Bannerghatta Road,2,1050.0,2.0,65.0,34
295,Begur Road,2,1200.0,2.0,46.8,39
296,Lakshminarayana Pura,3,1600.0,2.0,108.0,154
297,Billekahalli,3,1935.0,3.0,110.0,44
298,8th Phase JP Nagar,1,451.0,1.0,29.9,7
299,Electronic City,3,1800.0,3.0,95.0,74
300,Jalahalli,3,1400.0,3.0,77.0,112
301,Hegde Nagar,3,1801.0,3.0,115.0,94
302,Mahadevpura,2,1451.0,2.0,90.0,157
303,Anekal,2,1200.0,1.0,36.0,17
304,Begur Road,2,1160.0,2.0,44.0,39
305,Kanakpura Road,2,950.0,2.0,40.0,128
306,others,3,1629.0,3.0,79.0,232
307,Vijayanagar,3,1826.0,3.0,121.0,222
308,7th Phase JP Nagar,2,1245.0,2.0,94.0,6
309,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,186
310,Sompura,2,825.0,2.0,33.0,205
311,Yeshwanthpur,3,1693.0,3.0,108.0,231
312,Electronics City Phase 1,2,1113.27,2.0,53.0,76
313,others,2,1460.0,2.0,58.0,232
314,Doddathoguru,2,1050.0,2.0,32.0,70
315,Dodda Nekkundi,2,1260.0,2.0,55.0,67
316,Hosur Road,2,1656.0,2.0,120.0,104
317,Chandapura,3,1208.0,3.0,45.0,55
318,Whitefield,4,3252.0,4.0,230.0,226
319,Battarahalli,2,1200.0,2.0,65.0,37
320,7th Phase JP Nagar,2,1175.0,2.0,82.0,6
321,others,2,1185.0,2.0,38.0,232
322,Kengeri,2,750.0,2.0,38.0,136
323,Kanakpura Road,3,1550.0,3.0,64.5,128
324,others,3,1760.0,3.0,88.0,232
325,Billekahalli,2,1125.0,2.0,62.0,44
326,Anandapura,2,1000.0,2.0,55.0,15
327,Bommasandra Industrial Area,2,1090.0,2.0,31.48,49
328,TC Palaya,2,1200.0,2.0,60.0,209
329,Budigere,3,1991.0,4.0,103.0,52
330,Ambalipura,2,1105.0,2.0,75.0,12
331,Hoodi,2,985.0,2.0,67.0,97
332,Balagere,3,1590.0,3.0,79.0,25
333,CV Raman Nagar,2,1120.0,2.0,55.0,53
334,others,2,1069.0,2.0,55.0,232
335,Marathahalli,3,1933.0,3.0,140.0,162
336,Hosur Road,2,1194.0,2.0,69.0,104
337,Brookefield,2,1150.0,2.0,69.0,51
338,Yelenahalli,2,1240.0,2.0,47.12,230
339,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,186
340,others,3,1450.0,3.0,55.0,232
341,others,3,1630.0,3.0,68.29,232
342,Dasanapura,2,708.0,1.0,40.0,63
343,Whitefield,4,11890.0,4.0,700.0,226
344,Bellandur,2,1250.0,2.0,76.0,40
345,7th Phase JP Nagar,3,1400.0,2.0,95.0,6
346,Sarjapur  Road,3,1670.0,2.0,57.0,196
347,Ardendale,3,1750.0,3.0,100.0,19
348,Vittasandra,2,1404.0,2.0,71.0,225
349,Hoodi,3,1715.0,2.0,95.0,97
350,Electronic City,1,630.0,1.0,34.65,74
351,Harlur,3,1752.12,3.0,135.0,91
352,Hulimavu,3,1650.0,3.0,78.0,105
353,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,186
354,Sarjapur  Road,2,1346.0,2.0,74.03,196
355,Hormavu,2,1150.0,2.0,55.0,100
356,AECS Layout,3,1620.0,3.0,98.0,9
357,Marathahalli,2,950.0,2.0,46.96,162
358,Harlur,3,2450.0,3.0,120.0,91
359,Electronic City Phase II,3,1220.0,2.0,35.23,75
360,others,2,850.0,2.0,30.0,232
361,Padmanabhanagar,2,1020.0,2.0,63.0,179
362,Chikkalasandra,2,1100.0,2.0,50.0,59
363,Hebbal,3,1760.0,2.0,130.0,92
364,Ambalipura,3,1800.0,3.0,110.0,12
365,Akshaya Nagar,2,1070.0,2.0,54.0,11
366,Vidyaranyapura,2,1440.0,2.0,95.0,221
367,Amruthahalli,2,900.0,2.0,40.0,14
368,Whitefield,2,1130.0,2.0,42.16,226
369,Kodigehalli,2,1270.0,2.0,98.0,141
370,others,2,1200.0,2.0,62.0,232
371,others,4,4800.0,4.0,235.0,232
372,others,2,1200.0,2.0,74.0,232
373,Subramanyapura,2,929.0,2.0,50.17,207
374,others,3,1464.0,3.0,56.0,232
375,others,4,2000.0,4.0,99.0,232
376,Chikkalasandra,2,1208.0,2.0,49.0,59
377,Hebbal Kempapura,2,1130.0,2.0,60.0,93
378,others,3,1753.0,3.0,120.0,232
379,Hoodi,2,1196.0,2.0,94.42,97
380,5th Phase JP Nagar,2,1150.0,3.0,52.5,4
381,Electronic City,2,1128.0,2.0,63.0,74
382,others,2,1000.0,2.0,53.0,232
383,Yelahanka,2,1035.0,2.0,45.0,228
384,Kereguddadahalli,2,950.0,2.0,32.0,138
385,Bisuvanahalli,3,1075.0,2.0,36.0,46
386,Whitefield,2,1040.0,2.0,48.5,226
387,others,2,720.0,2.0,45.0,232
388,Lingadheeranahalli,3,1511.0,3.0,95.0,155
389,others,3,1300.0,3.0,58.0,232
390,Hoodi,3,1545.0,3.0,68.75,97
391,Shampura,1,375.0,2.0,26.0,201
392,Vidyaranyapura,2,1062.0,2.0,38.0,221
393,others,2,1115.0,2.0,40.0,232
394,JP Nagar,2,1000.0,2.0,35.0,110
395,Kambipura,2,883.0,2.0,45.0,124
396,Sarjapur  Road,2,1195.0,2.0,70.0,196
397,others,1,700.0,1.0,41.0,232
398,Vittasandra,2,1246.0,2.0,67.0,225
399,others,4,1600.0,4.0,80.0,232
400,Haralur Road,4,2805.0,5.0,154.0,90
401,Begur Road,3,1584.0,3.0,65.0,39
402,Hosur Road,3,1175.0,2.0,48.0,104
403,others,3,1595.0,3.0,115.0,232
404,others,2,1353.0,2.0,110.0,232
405,Electronic City,3,1599.0,3.0,125.0,74
406,Whitefield,2,1150.0,2.0,70.0,226
407,KR Puram,2,1155.0,2.0,42.74,116
408,others,1,1200.0,2.0,85.0,232
409,Thanisandra,4,3000.0,4.0,120.0,211
410,Ramagondanahalli,2,1251.0,2.0,47.0,189
411,others,2,1028.0,2.0,45.5,232
412,Arekere,2,1222.0,2.0,45.0,20
413,Bannerghatta Road,3,1170.0,2.0,66.0,34
414,others,3,1385.0,2.0,48.48,232
415,HSR Layout,2,1372.0,2.0,68.0,89
416,Magadi Road,3,1282.0,2.0,49.0,156
417,Kanakpura Road,2,1135.0,2.0,39.73,128
418,Whitefield,3,1768.0,3.0,101.0,226
419,others,3,1325.0,2.0,90.0,232
420,Electronic City,3,1599.0,3.0,99.0,74
421,Whitefield,3,1500.0,3.0,61.95,226
422,Uttarahalli,2,1286.0,2.0,63.0,218
423,Kammanahalli,5,2845.0,5.0,140.0,125
424,others,3,1600.0,2.0,50.0,232
425,Hennur Road,2,1564.9842423276207,2.0,63.77,96
426,Munnekollal,2,1102.0,2.0,53.67,165
427,Yelahanka,2,1350.0,2.0,54.0,228
428,Banashankari,3,1200.0,2.0,42.0,26
429,others,2,1800.0,1.0,80.0,232
430,Chikkabanavar,2,950.0,2.0,40.0,58
431,Kanakpura Road,1,525.0,1.0,27.25,128
432,Attibele,2,656.0,2.0,25.0,21
433,others,2,1056.0,2.0,80.0,232
434,Bannerghatta Road,1,595.0,1.0,33.32,34
435,others,2,1080.0,2.0,50.0,232
436,7th Phase JP Nagar,3,2225.0,3.0,160.0,6
437,Electronics City Phase 1,3,1490.0,3.0,84.0,76
438,Sarjapur  Road,3,1550.0,3.0,100.0,196
439,Sarjapur  Road,3,1600.0,3.0,86.0,196
440,others,2,1160.0,2.0,55.0,232
441,Whitefield,4,4144.0,4.0,315.0,226
442,Sarjapur  Road,3,2100.0,3.0,125.0,196
443,Vittasandra,2,1404.0,2.0,69.3,225
444,others,3,1544.0,3.0,120.0,232
445,Banashankari Stage III,3,1305.0,2.0,58.7,28
446,Marathahalli,2,1230.0,2.0,80.0,162
447,others,2,1200.0,2.0,65.0,232
448,Harlur,3,1460.0,3.0,73.0,91
449,Gottigere,2,967.0,2.0,45.0,82
450,others,1,540.0,1.0,36.0,232
451,Hormavu,1,715.0,1.0,46.0,100
452,Mysore Road,2,1020.0,2.0,48.95,167
453,Jigani,2,1020.0,2.0,40.0,114
454,Koramangala,2,1253.0,2.0,102.0,145
455,others,2,1180.0,2.0,42.0,232
456,Nehru Nagar,2,961.0,2.0,38.0,175
457,Kanakapura,3,1419.0,3.0,75.0,127
458,others,2,1600.0,2.0,115.0,232
459,others,1,416.0,1.0,18.5,232
460,HSR Layout,3,1430.0,2.0,65.0,89
461,others,2,1260.0,2.0,45.0,232
462,others,3,1630.0,3.0,85.0,232
463,Sarjapur  Road,3,1249.0,3.0,44.71,196
464,Kalena Agrahara,3,1450.0,2.0,85.0,122
465,Konanakunte,3,2791.0,3.0,223.0,144
466,others,1,834.0,1.0,60.0,232
467,others,3,1125.0,4.0,70.0,232
468,Arekere,3,2060.0,3.0,140.0,20
469,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,186
470,Bisuvanahalli,3,1075.0,2.0,37.0,46
471,Vidyaranyapura,2,1200.0,2.0,55.0,221
472,Thanisandra,2,1075.0,2.0,45.8,211
473,Kaggadasapura,2,1140.0,2.0,40.0,119
474,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,186
475,R.T. Nagar,4,1500.0,4.0,70.0,184
476,Whitefield,3,1790.0,3.0,100.0,226
477,Hebbal,3,1920.0,3.0,134.0,92
478,HRBR Layout,2,1374.0,2.0,95.0,88
479,Bannerghatta Road,3,1445.0,3.0,95.0,34
480,Kanakapura,1,711.0,1.0,36.0,127
481,Tumkur Road,3,1500.0,3.0,95.0,216
482,Whitefield,3,1720.0,3.0,100.0,226
483,others,3,1400.0,3.0,60.0,232
484,Kundalahalli,2,1030.0,2.0,49.0,151
485,Mysore Road,2,1200.0,2.0,85.0,167
486,others,3,1375.0,3.0,70.0,232
487,Hegde Nagar,2,1050.0,1.0,56.0,94
488,Jalahalli,3,2250.0,3.0,160.0,112
489,Bellandur,2,1000.0,2.0,50.0,40
490,others,1,469.0,1.0,25.0,232
491,Marathahalli,4,3800.0,4.0,250.0,162
492,Kambipura,2,883.0,2.0,29.0,124
493,GM Palaya,3,1820.0,2.0,86.0,78
494,Singasandra,3,1440.0,2.0,65.0,203
495,others,6,3600.0,4.0,160.0,232
496,Mahadevpura,2,1225.0,2.0,48.0,157
497,Chikkalasandra,2,875.0,2.0,52.8,59
498,Jalahalli East,1,750.0,1.0,40.0,113
499,6th Phase JP Nagar,2,1180.0,2.0,80.0,5
500,Haralur Road,2,1194.0,2.0,47.0,90
501,Hennur Road,3,1500.0,2.0,62.0,96
502,others,2,1160.0,2.0,52.2,232
503,Sarjapur,2,1128.0,2.0,60.0,195
504,others,3,1220.0,2.0,35.23,232
505,Sarjapur  Road,2,1210.0,2.0,58.0,196
506,Kanakpura Road,3,1100.0,2.0,58.0,128
507,Bommasandra,3,1200.0,3.0,46.0,48
508,Haralur Road,4,3385.0,5.0,260.0,90
509,others,3,1641.0,3.0,66.0,232
510,Horamavu Agara,2,1200.0,2.0,45.0,98
511,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39,186
512,Mahadevpura,3,1720.0,3.0,78.0,157
513,Yelahanka,2,1564.9842423276207,2.0,48.13,228
514,Yelahanka,2,1210.0,2.0,45.98,228
515,Bisuvanahalli,3,1075.0,2.0,45.0,46
516,Thanisandra,3,1702.0,3.0,130.0,211
517,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55,186
518,others,3,2072.0,3.0,108.0,232
519,others,3,1200.0,2.0,70.0,232
520,others,3,1350.0,3.0,77.0,232
521,others,3,1180.0,2.0,78.34,232
522,Bannerghatta Road,3,1640.0,2.0,120.0,34
523,Kodichikkanahalli,3,1190.0,2.0,57.0,139
524,Marathahalli,2,1019.0,2.0,49.85,162
525,Akshaya Nagar,3,1250.0,3.0,40.0,11
526,Whitefield,2,1140.0,2.0,56.0,226
527,Lingadheeranahalli,3,1683.0,3.0,109.0,155
528,Kaggadasapura,3,1515.0,3.0,83.3,119
529,Hoodi,4,2118.0,4.0,111.0,97
530,Bannerghatta Road,4,1380.0,3.0,58.0,34
531,Varthur Road,2,1083.0,2.0,61.75,220
532,others,3,2300.0,3.0,120.0,232
533,others,2,1240.0,2.0,60.0,232
534,others,3,1750.0,3.0,120.0,232
535,others,2,1230.0,2.0,43.48,232
536,Abbigere,2,985.0,2.0,40.39,10
537,Tindlu,3,1500.0,2.0,87.0,215
538,Electronic City,2,1125.0,2.0,32.49,74
539,others,2,950.0,2.0,44.0,232
540,Kothanur,3,1580.0,3.0,76.0,147
541,Hennur Road,3,2264.0,3.0,159.0,96
542,Kammasandra,2,810.0,2.0,24.5,126
543,others,2,1045.0,2.0,45.0,232
544,Hebbal,2,1337.0,2.0,82.0,92
545,Begur Road,3,1500.0,2.0,54.0,39
